Name,Headquarters,Area (km2),Population(2011 census),No.of mandals,Density(per km2),Urban (%),Literacy (%),Sex ratio
Adilabad,Adilabad,4153,708972,18,171,23.66,63.46,978
Kumuram Bheem Asifabad,Asifabad,4878,515812,15,106,16.86,56.72,998
Mancherial,Mancherial,4016,807037,18,201,43.85,64.35,977
Nirmal,Nirmal,3845,709418,19,185,21.38,57.77,1046
Nizamabad,Nizamabad,4288,1571022,27,366,29.58,64.25,1044
Jagtial,Jagtial,2419,985417,18,407,22.46,60.26,1036
Peddapalli,Peddapalli,2236,795332,14,356,38.22,65.52,992
Kamareddy,Kamareddy,3652,972625,22,266,12.71,56.51,1033
Rajanna Sircilla,Sircilla,2019,552037,13,273,21.17,62.71,1014
Karimnagar,Karimnagar,2128,1005711,16,473,30.72,69.16,993
Jayashankar Bhupalpally,Bhupalpally,2293,416763,20,180,7.57,58.97,1009
Sangareddy,Sangareddy,4403,1527628,26,347,34.69,64.08,965
Medak,Medak,2786,767428,20,275,7.67,56.12,1027
Siddipet,Siddipet,3632,1012065,22,279,13.74,61.61,1008
Jangaon,Jangaon,2188,566376,13,259,12.6,61.6,997
Hanumakonda,Hanumakonda[10],1309,1080858,11,826,68.51,76.17,997
Warangal,Warangal[10],2175,718537,15,330,6.99,61.26,994
Mulugu,Mulugu,3881,257744,9,66,5.0,62.26,968
Bhadradri kothagudem,Kothagudem,7483,1069261,23,143,31.71,66.4,1008
Khammam,Khammam,4361,1401639,21,321,22.6,65.95,1005
Mahabubabad,Mahabubabad,2877,774549,16,269,9.86,57.13,996
Suryapet,Suryapet,3607,1099560,23,305,15.56,64.11,996
Nalgonda,Nalgonda,7122,1618416,31,227,22.76,63.75,978
Yadadri Bhuvanagiri[11],Bhuvanagiri,3092,739448,16,239,16.66,65.2402221,973
Medchalâ€“Malkajgiri,Shamirpet,1084,2440073,14,2251,91.4,82.48,957
Hyderabad,Hyderabad,217,3943323,16,18172,100.0,83.25,954
Ranga Reddy,Shamshabad,5031,2446265,27,486,58.05,71.88,950
Vikarabad,Vikarabad,3386,927140,18,274,13.48,57.91,1001
Narayanpet,Narayanpet,2336,566874,11,240,7.36,49.93,1009
Mahabubnagar,Mahabubnagar,2738,919903,26,340,20.73,60.97,995
Nagarkurnool,Nagarkurnool,6545,893308,22,142,10.19,54.38,968
Wanaparthy,Wanaparthy,2152,577758,14,268,15.97,55.67,960
Jogulamba Gadwal,Gadwal,2928,609990,12,208,10.36,49.87,972
